File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\AboutBox.cpp,19,10,3,0,8,0,1,2,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\AES128.cpp,441,298,236,34,58,1,85,485,42,285
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\AG200Patient.cpp,315,243,177,27,43,0,29,32,2,4
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\Anthropologia.cpp,358,276,197,15,65,1,17,42,5,14
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\ChannelList.cpp,1858,1578,1198,404,203,6,77,369,14,25
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\D2ChannelGraphButtons.cpp,4057,2822,1902,178,854,13,381,1434,5,14
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\D2Graph.cpp,5785,4526,3275,849,816,78,443,1911,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\dataMMFiles.cpp,426,286,205,59,48,8,92,551,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\EDF.cpp,203,161,130,27,33,1,9,41,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\EDFHeader.cpp,510,383,309,15,105,7,22,108,2,4
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\Events.cpp,4451,3438,2483,603,472,23,541,2364,5,14
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\GraphSettings.cpp,165,114,77,8,37,8,14,82,7,18
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\GraphVisualProperties.cpp,474,388,269,46,78,0,8,11,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\ReadAG200Data.cpp,206,163,121,35,30,1,13,47,7,23
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\ReadWriteAGSData.cpp,384,331,270,49,37,1,16,36,7,16
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\RegEntries.cpp,433,253,194,55,73,1,107,624,5,14
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\SpiroWaitCursor.cpp,45,18,10,2,4,0,23,24,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\Stream.cpp,494,360,186,76,76,8,58,397,1,5
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\TI_aes_128.cpp,230,146,93,20,14,19,70,454,40,290
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\vectorFunctions.cpp,4693,3280,2485,487,579,28,834,3216,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\xmlWriter.cpp,299,258,173,70,15,0,26,54,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\AboutBox.h,23,13,6,0,7,1,3,11,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\AES128.h,151,93,35,0,12,16,46,323,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\AG200Patient.h,95,67,51,0,10,2,18,49,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\agMessages.h,15,6,0,0,2,1,7,33,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\AGSMessages.h,17,14,0,0,3,0,0,0,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\AGSpiroDefs.h,14,5,1,0,4,0,5,14,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\Anthropologia.h,108,91,64,0,12,0,5,14,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\ChannelList.h,397,328,275,0,42,69,27,232,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\CommonResource.h,426,360,0,0,50,0,16,37,10,26
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\D2ChannelGraphButtons.h,772,711,524,0,43,9,18,74,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\D2Graph.h,738,613,526,0,91,36,34,352,9,22
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\dataMMFiles.h,80,42,25,0,9,1,29,133,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\EDF.h,96,86,77,0,10,5,0,21,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\EDFHeader.h,71,44,33,0,17,4,10,32,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\EventEnums.h,42,29,6,0,5,0,8,18,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\Events.h,809,687,481,0,77,63,45,582,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\GraphSettings.h,39,21,13,0,11,2,7,22,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\GraphVisualProperties.h,96,83,73,0,8,0,5,14,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\memMappedFiles.h,107,52,10,0,24,30,31,253,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\ReadAG200Data.h,189,152,109,0,26,30,11,151,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\ReadWriteAGSData.h,108,85,39,0,10,0,13,57,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\RegDefs.h,99,83,1,0,8,2,8,30,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\RegEntries.h,43,31,23,0,6,3,6,58,0,9
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\SpiroWaitCursor.h,31,11,5,0,2,0,18,20,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\Stream.h,287,197,102,23,56,3,34,183,4,21
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\TI_aes_128.h,45,4,1,0,4,1,37,273,37,271
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\TI_aes_128_encr_only.h,45,4,1,0,4,1,37,273,37,271
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\vectorFunctions.h,1288,1024,462,3,79,41,185,866,0,0
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common\xmlWriter.h,23,13,6,0,4,0,6,14,0,0
